Time,Time Code,Country Name,Country Code,GDP per capita growth (annual %),"GDP per capita, PPP (current international $)",CO2 emissions (metric tons per capita),CO2 emissions (kg per PPP $ of GDP),"Life expectancy at birth, total (years)","Life expectancy at birth, male (years)","Life expectancy at birth, female (years)",CO2 intensity (kg per kg of oil equivalent energy use),Coverage of social protection and labor programs (% of population),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),CPIA social protection rating (1=low to 6=high),Adjusted savings: carbon dioxide damage (% of GNI),"Intentional homicides (per 100,000 people)","Internally displaced persons, total displaced by conflict and violence (number of people)",CPIA quality of public administration rating (1=low to 6=high),Proportion of people living below 50 percent of median income (%),Multidimensional poverty headcount ratio (% of total population),CO2 emissions from gaseous fuel consumption (kt),CO2 emissions from liquid fuel consumption (kt),CO2 emissions from solid fuel consumption (kt),"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),Total greenhouse gas emissions (kt of CO2 equivalent)
2015,YR2015,"Korea, Rep.",KOR,2.268429401,37902.4004,11.91468649,0.314351766,82.02439024,79,85.2,2.196213671,..,..,..,1.43747044,0.73537485,..,..,..,..,90116.525,173012.727,308270.022,..,..,683861.1
2015,YR2015,Kosovo,XKX,7.371867227,9357.135136,..,..,78.922,76.282,81.632,..,..,..,3.5,4.684863619,2.387554701,17000,3,5.9,..,0,1954.511,6156.893,3,3,..
2015,YR2015,Kuwait,KWT,-3.194174418,46346.70359,22.77463624,0.491397111,79.562,77.916,82.004,..,..,..,..,2.432417997,..,..,..,..,..,39097.554,51378.337,0,..,..,125981.9
2015,YR2015,Kyrgyz Republic,KGZ,1.75886441,4214.829509,1.723648206,0.4089485,70.65121951,66.7,74.8,..,..,..,3.5,5.56475375,5.118200219,..,3,4.5,..,524.381,4836.773,4341.728,3,2.5,16614.69
2015,YR2015,Lao PDR,LAO,5.753411005,6126.440613,1.307698847,0.213451648,66.67,64.739,68.724,..,..,..,2.5,2.240018387,..,..,3,..,..,0,2896.93,5155.802,2.5,3.5,19257.33
2015,YR2015,Latvia,LVA,4.739182606,24972.78609,3.699519653,0.148142047,74.4804878,69.7,79.5,..,..,..,..,0.938014133,3.363530643,..,..,11.7,30.9,2515.562,3766.009,176.016,..,..,11565.81
2015,YR2015,Lebanon,LBN,-1.493847612,15379.59978,4.221652336,0.274496892,79.229,77.234,80.951,..,..,..,..,1.900441649,3.609973184,12000,..,..,..,0,21052.247,634.391,..,..,32882.39
2015,YR2015,Lesotho,LSO,1.99435847,2990.952647,0.306723417,0.102550409,51.101,48.48,53.86,..,..,..,3,0.856437597,..,..,3,..,..,0,638.058,1708.822,3,3.5,2341.398
2015,YR2015,Liberia,LBR,-2.033029839,1272.596565,0.273159178,0.214647113,59.148,57.898,60.373,..,..,..,2.5,1.486685651,..,..,2.5,..,..,0,1089.099,0,3,3,2238.049
2015,YR2015,Libya,LBY,-2.355436924,22163.1408,8.288945752,0.373996891,71.698,68.5,75.369,..,..,..,..,3.632507646,..,500000,..,..,..,12742.825,33212.019,0,..,..,90010.99
2015,YR2015,Liechtenstein,LIE,..,..,4.273082586,..,82.65609756,80.9,84.5,..,..,..,..,0.10777243,0,..,..,..,..,51.338,0,0,..,..,173.565
2015,YR2015,Lithuania,LTU,2.988912971,28834.42768,3.810307376,0.132144373,74.32195122,69.2,79.7,..,..,..,..,0.963766791,5.803430063,..,..,14.7,29.3,4734.097,7168.985,693.063,..,..,18870.4
2015,YR2015,Luxembourg,LUX,-0.115476306,107859.686,16.03605312,0.148675133,82.29268293,80,84.7,2.447722492,..,..,..,0.821242685,0.87810575,..,..,12.1,18.5,1760.16,6761.948,187.017,..,..,10124.98
